Lot,Variety,Fields,Customer,Selected,Ranking,Greeness ,Shatter ,Rating,Evergreen,Woody,Nutty,Earthy,Spicy,Vegetal,Floral,Grassy,Herbal,Fruity,Stonefruit,Citrus,Tropical,OG,Cheesy,Plastic,Diesel,Notes
22-WA397-006,Simcoe ,#81,Dancing Gnome Beer,No,3,4,4,7,0,2,0,0,3,0,1,0,1,0,0,5,0,0,0,0,0,Spiced cooked orange. nice complexity.
22-WA397-006,Simcoe ,#81,Other Half Brewing Co.,No,6,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,
22-WA397-007,Simcoe ,#81,Official Sensory,Yes,0,4,4,0,0,3,0,0,1,0,1,1,3,0,6,7,6,1,0,0,0,Average internal validated sensory analysis for lot 22-WA397-007
22-WA397-008,Simcoe ,#81,Two Tides Brewing Company,Yes,1,4,3,7,0,0,0,2,0,1,1,0,1,0,0,5,1,0,0,0,0,
22-WA397-008,Simcoe ,#81,Morenos,Yes,1,4,3,9,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,
22-WA397-008,Simcoe ,#81,Sonder Brewing,Yes,1,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Most tropical, tropical fruit cup"
22-WA397-008,Simcoe ,#81,Calicraft Brewing Co.,Yes,1,4,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pungent. Great classic example of Simcoe flavor.  Rich red grapefruit, pine and dankiness."
22-WA397-008,Simcoe ,#81,3 Sons Brewing Co.,Yes,1,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22-WA397-008,Simcoe ,#81,Cinderlands,Yes,1,4,3,9,0,7,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,"Superior lot of modern Simcoe. This was harvested at the right day, hour, minute and second to deliver pine, dank, pineapple, grapefruit and passion fruit."
22-WA397-008,Simcoe ,#81,TEMESCAL BREWING,Yes,1,4,3,9,0,3,0,0,0,0,0,0,0,0,5,9,7,0,0,2,0,"Citrus assault. nice pineapple and apricot,"
22-WA397-008,Simcoe ,#81,Frost Beer Works,Yes,1,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22-WA397-008,Simcoe ,#81,Cerveceria Madueño,Yes,1,4,3,9,0,0,0,0,2,0,0,3,0,0,3,7,4,2,0,0,0,"Amazing smell, very nice citrusy aroma"
22-WA397-008,Simcoe ,#81,Boundary Bay Brewery,Yes,2,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22-WA397-008,Simcoe ,#81,Microbrasserie La Souche,Yes,1,4,3,8,0,6,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,
22-WA397-008,Simcoe ,#81,District 96 Beer,Yes,1,4,3,8,0,3,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,"2nd favorite of the group. dank, More herbal - citrus rind. choose based on the elevated geranial and linalool numbers."
22-WA397-008,Simcoe ,#81,Brasserie Dunham,Yes,1,4,3,9,0,0,0,2,0,0,3,0,0,0,0,6,6,0,0,0,0,Lots of sweet aroma and fruit
22-WA397-008,Simcoe ,#81,Official Sensory,Yes,0,4,3,0,0,4,0,0,1,0,2,1,4,0,1,4,4,0,0,0,0,Average internal validated sensory analysis for lot 22-WA397-008
22-WA397-008,Simcoe ,#81,Everybody's Brewing,No,3,4,3,5,0,0,0,0,0,0,0,0,0,0,0,6,4,0,2,0,0,
22-WA397-008,Simcoe ,#81,Cervecería Icono,No,2,4,3,8,0,0,0,1,2,2,2,4,4,0,2,6,8,0,0,0,0,
22-WA397-008,Simcoe ,#81,Rusty Rail Brewing Co.,No,3,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22-WA397-008,Simcoe ,#81,South Lake Brewing Company,No,3,4,3,6,0,3,0,0,0,0,2,0,0,0,0,6,2,0,0,0,0,
22-WA397-008,Simcoe ,#81,Tripping Animals Brewing,No,2,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22-WA397-008,Simcoe ,#81,Brewery ARS,No,2,4,3,6,0,5,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,"Tangerine, pineapple, slight pine, floral, pepper, sandlewood"
22-WA397-008,Simcoe ,#81,Pike Brewing Co.,No,2,4,3,7,0,0,0,2,4,0,0,0,4,0,0,6,0,0,0,0,0,"Missing that cattyness association of Simcoe - Definitely is Simcoe, but our second choice due to the lower aroma."
22-WA397-008,Simcoe ,#81,Seventh Son Brewing,No,3,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not punchy enough
22-WA397-008,Simcoe ,#81,Prision Pals,No,4,4,3,3,0,3,0,0,2,5,5,7,6,0,2,3,0,0,0,0,0,"Grassy, vegetal, herbal. Not what I want."
22-WA397-008,Simcoe ,#81,Common Space Brewing,No,3,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22-WA397-008,Simcoe ,#81,Cerveceria Tres Islas,No,3,4,3,8,0,3,0,0,0,0,3,2,3,0,4,7,6,0,0,0,0,Notas dulces. Duraznos en almibar. Mas citrico que el anterior. Muy fresco.
22-WA397-008,Simcoe ,#81,Mast Landing Brewing,No,3,4,3,5,0,0,0,4,2,0,0,2,6,0,0,6,0,0,0,0,2,"Little yellowed, some musty notes, citrus - zest/rind, more lemon and grapefruit over orange, lots of dank, spicy, sweat/gym sock, lemongrass/herbal lean, thyme"
22-WA397-008,Simcoe ,#81,Riip Beer Co.,No,2,4,3,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,"Sweet candy, dank weed, orange,"
22-WA397-008,Simcoe ,#81,Fair State Brewing,No,3,4,3,6,0,5,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,"Piney, not quite as intense overall, less stonefruit"
22-WA397-008,Simcoe ,#81,Voodoo Brewing Co.,No,3,4,3,5,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,
22-WA397-008,Simcoe ,#81,Microbrasserie Dieu Du Ciel,No,4,4,3,5,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,
22-WA397-008,Simcoe ,#81,Microbrasserie Jackalhop,No,4,4,3,5,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,
22-WA397-008,Simcoe ,#81,St Elmo Brewing Co.,No,3,4,3,6,0,0,0,1,1,0,2,2,0,0,1,7,0,0,0,0,0,
22-WA397-008,Simcoe ,#81,Revelry Brewing Company,No,3,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Slight musty dankness, sweet berry, more pine,"
22-WA397-008,Simcoe ,#81,Dru Bru,No,2,4,3,6,0,0,0,4,0,0,0,2,0,0,2,2,2,0,3,0,0,
22-WA397-008,Simcoe ,#81,Country Boy Brewing,No,2,4,3,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,Soft and creamy. Stonefruit/peach.
22-WA397-008,Simcoe ,#81,Fonta Flora Brewing,No,4,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Strawberry, skunky, sweeter, caramel, toffee, green grass, tea, earthy, vanilla"
22-WA397-008,Simcoe ,#81,Mainstay Independent Brewing Company,No,2,4,3,6,0,2,0,4,2,1,2,2,3,0,2,6,1,1,1,1,1,
22-WA397-008,Simcoe ,#81,McIlhenney's Brewing Company,No,2,4,3,7,0,0,0,0,0,2,0,0,0,0,4,6,5,1,0,0,1,
22-WA397-008,Simcoe ,#81,Bend Brewing Co.,No,4,4,3,6,0,4,0,0,0,0,0,4,0,0,0,3,0,5,0,0,1,
22-WA397-008,Simcoe ,#81,Radiant Beer,No,2,4,3,8,0,0,0,0,0,0,2,0,0,0,2,9,7,0,0,0,0,"Very nice, tangerine, very citrus forward and clean."
22-WA397-008,Simcoe ,#81,Westbound and Down Brewing Company,No,2,4,3,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,
22-WA397-008,Simcoe ,#81,Confluence Brewing Co.,No,3,4,3,6,0,3,0,1,2,0,5,2,3,0,2,5,0,0,0,0,0,"Bright lemon and zesty, floral and a touch of spice. Herbal is a mix of tea and rosemary or thyme. Sweet fruit, maybe a touch funky, apricots and guava. Low woodiness comparatively."
22-WA397-008,Simcoe ,#81,Trace Brewing,No,2,4,3,8,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,
22-WA397-008,Simcoe ,#81,Baerlic Brewing Company,No,4,4,3,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,
22-WA397-009,Simcoe ,#81,Fidens Brewing Co.,Yes,1,5,3,9,0,0,0,0,0,0,0,0,0,0,3,4,2,0,0,0,0,Fruity
22-WA397-009,Simcoe ,#81,Great Divide Brewing Co.,Yes,1,5,3,6,0,2,0,0,0,0,3,0,4,0,3,0,0,0,0,0,2,
22-WA397-009,Simcoe ,#81,Von Ebert Brewing,Yes,1,5,3,8,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,4,Most grapefruit intensity on table.  ammonia was more Citra-like but boosted grapefruit.
22-WA397-009,Simcoe ,#81,Official Sensory,Yes,0,5,3,0,0,5,0,1,1,0,1,2,2,0,2,5,3,0,0,0,0,Average internal validated sensory analysis for lot 22-WA397-009
22-WA397-009,Simcoe ,#81,Range Brewing,No,2,5,3,9,0,0,0,0,0,0,1,0,0,0,6,9,9,0,0,0,0,"Lemon sherbet, orange blossom, cherry, pineapple, mint, low sweetness, low resin"
22-WA397-009,Simcoe ,#81,Mountain Culture,No,5,5,3,4,0,3,0,0,0,0,3,0,0,0,0,4,2,0,0,0,0,"Jelly, sweet"
22-WA397-009,Simcoe ,#81,Burgeon Beer Company,No,3,5,3,6,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,"Sweet citrus, mild, clementine"
22-WA397-009,Simcoe ,#81,KANE BREWING CO.,No,2,5,3,5,0,0,0,4,0,0,0,0,0,0,4,6,0,0,0,0,0,"Not bad but one note, piney, pineapple, OJ / citrus, peach/nectarine, slight green fruit"
22-WA397-010,Simcoe ,#81,Gigantic Brewing,Yes,1,4,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
22-WA397-010,Simcoe ,#81,Double Mountain,Yes,1,4,3,7,0,5,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,
22-WA397-010,Simcoe ,#81,Official Sensory,Yes,0,4,3,0,0,6,0,0,1,1,1,1,3,0,4,6,3,1,0,0,0,Average internal validated sensory analysis for lot 22-WA397-010
22-WA397-011,Simcoe ,#81,Official Sensory,Yes,0,5,3,0,0,4,0,0,0,0,1,1,3,0,4,6,4,0,0,0,0,Average internal validated sensory analysis for lot 22-WA397-011
22-WA397-011,Simcoe ,#81,FOUNDERS BREWING CO.,Yes,8,5,3,6,0,0,0,0,0,0,0,2,0,0,4,5,4,0,0,0,0,"Punchy, pineapple, peaches, fruity, pretty good. a little wet"
22-WA397-012,Simcoe ,#3,Official Sensory,Yes,0,5,4,0,0,5,0,0,0,0,2,2,4,0,3,6,3,1,0,0,0,Average internal validated sensory analysis for lot 22-WA397-012
22-WA397-013,Simcoe ,#3,Russian River Brewing Co.,Yes,1,5,4,9,0,2,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0, - All of this lot/weight for Cryo
22-WA397-013,Simcoe ,#3,Official Sensory,Yes,0,5,4,0,0,4,0,1,0,0,1,0,2,0,4,6,5,0,0,0,0,Average internal validated sensory analysis for lot 22-WA397-013
22-WA397-013,Simcoe ,#3,CanArchy Brewing Collective,No,10,5,4,6,0,4,0,0,1,0,4,0,4,0,2,6,7,0,0,0,0,Rich citrus zest with moderate pine. Moderate floral presence. Sweet pineapple.
22-WA397-014,Simcoe ,#3,*YCH (4Group),Yes,1,5,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
22-WA397-014,Simcoe ,#3,Official Sensory,Yes,0,5,3,0,0,5,0,1,1,1,1,2,1,0,4,6,5,1,0,0,0,Average internal validated sensory analysis for lot 22-WA397-014
22-WA397-015,Simcoe ,#3,Jackie O's Brewery,Yes,1,4,3,8,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0," - punchy with great berry and dank notes, lovely"
22-WA397-015,Simcoe ,#3,Fort George Brewery and Pub,Yes,2,4,3,8,0,0,0,0,0,0,5,0,3,0,0,0,7,0,0,0,0,"Pineapple, lavender, tropical, David complained of floral bouquet"
22-WA397-015,Simcoe ,#3,Official Sensory,Yes,0,4,3,0,0,3,0,0,0,1,1,2,3,0,3,4,4,0,0,0,0,Average internal validated sensory analysis for lot 22-WA397-015
22-WA397-015,Simcoe ,#3,Singlecut Beersmiths,No,2,4,3,7,0,5,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,"Stonefruit (apricot or peach), medium citrus (fresh), berry medley, some seeds in the pack, missing some of the dank from Simcoe"
22-WA397-015,Simcoe ,#3,Torch & Crown Brewing Company,No,4,4,3,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,Green tea.  bad simcoe we don&#39;t want
22-WA397-015,Simcoe ,#3,Cooperage Brewing Co.,No,4,4,3,3,0,0,0,0,0,4,0,4,5,0,0,4,0,0,3,0,0,
22-WA397-015,Simcoe ,#3,"Humble Sea, Inc.",No,3,4,3,6,0,0,0,0,0,0,0,2,5,0,0,5,0,1,0,0,0,"Pine dankness more than canna-dankness, herbal tea"
22-WA397-015,Simcoe ,#3,Pipeworks Brewing LLC,No,2,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22-WA397-015,Simcoe ,#3,Brouwerij Frontaal,No,3,4,3,8,0,0,0,0,2,0,5,0,6,0,0,4,8,0,0,0,0,"Mango, lychee, jasmine tea"
22-WA397-015,Simcoe ,#3,DUST BOWL BREWING CO,No,2,4,3,7,0,0,0,1,0,0,5,4,0,0,4,2,7,0,0,0,0,"A wonderful, bright, complex hop."
22-WA397-015,Simcoe ,#3,Beavertown Brewery,No,5,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Spicy, guava, tropical"
22-WA397-015,Simcoe ,#3,Societe Brewing Co.,No,3,4,3,8,0,0,0,0,0,0,0,0,0,0,4,8,5,0,0,0,0,
22-WA397-015,Simcoe ,#3,Russian River Brewing Co.,No,5,4,3,6,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,
22-WA397-015,Simcoe ,#3,"Sierra Nevada Brewing Co., Inc.",No,4,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Possible Swing - Not Selected
22-WA397-016,Simcoe ,#3,Hoof Hearted Brewing,Yes,1,4,2,9,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,"Lemon balm ,pine, smells true to type"
22-WA397-016,Simcoe ,#3,Brouwerij Frontaal,Yes,1,4,2,8,0,0,0,0,0,0,3,0,0,0,2,5,8,3,0,0,0,"Green part of spring onion, mango, bright, accessible"
22-WA397-016,Simcoe ,#3,Fuerst Wiacek,Yes,1,4,2,7,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,
22-WA397-016,Simcoe ,#3,Altamont Beer Works,Yes,1,4,2,8,0,4,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,Pine hard/ pine harder!
22-WA397-016,Simcoe ,#3,Official Sensory,Yes,0,4,2,0,0,4,0,0,1,1,1,1,5,0,3,6,6,0,0,0,0,Average internal validated sensory analysis for lot 22-WA397-016
22-WA397-016,Simcoe ,#3,Pub BreWskey,No,4,4,2,8,0,0,0,5,1,2,0,1,1,0,3,3,4,2,0,0,5,
22-WA397-016,Simcoe ,#3,Stigbergets Bryggeri,No,5,4,2,3,0,4,0,0,2,2,0,0,4,0,1,1,0,0,0,0,0,"Little woody, herbal.wood/spicy,"
22-WA397-016,Simcoe ,#3,Brasserie Du Bas-Canada Inc.,No,3,4,2,8,0,3,0,0,0,0,4,0,0,0,6,0,4,0,0,0,0,
22-WA397-016,Simcoe ,#3,Alvarium Brewing Co.,No,4,4,2,5,0,4,0,2,0,0,0,0,0,0,0,3,3,0,0,0,0,
22-WA397-016,Simcoe ,#3,Block 15 Brewing,No,3,4,2,7,0,4,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,
22-WA397-016,Simcoe ,#3,St Austell Brewery,No,3,4,2,6,0,0,0,0,0,0,3,0,0,0,2,6,0,1,0,0,0,"Medium sized cones, quite intense, floral, citrus, peardrop, soft berries more than stonefruits, feels a bit more dusty on second rub,"
22-WA397-016,Simcoe ,#3,Meanwhile Brewing Co,No,5,4,2,2,0,0,0,0,0,0,3,0,3,0,0,0,0,8,0,2,0,Some aggressive notes of onion - didnt speak to simcoe
22-WA397-016,Simcoe ,#3,Behemoth Brewing,No,4,4,2,5,0,7,0,0,7,0,0,0,6,0,0,0,3,0,0,0,0,"Spicy, pine, pretty low fruit character, black licorice"
22-WA397-016,Simcoe ,#3,Strange Brewing,No,2,4,2,7,0,0,0,0,0,0,3,0,0,0,7,0,7,0,0,0,0,
22-WA397-016,Simcoe ,#3,Liquid Gravity Brewing Company,No,4,4,2,7,0,3,0,1,0,0,2,3,3,0,0,7,2,2,0,0,0,"First pass was bright, citrusy and pungent. As it sat on the table, a little bit of herbal came out. Seemed less bright and pungent than the othrs on the table when compared."
22-WA397-016,Simcoe ,#3,Denver Beer Co.,No,6,4,2,4,0,4,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,
22-WA397-016,Simcoe ,#3,CBCo Brewing,No,2,4,2,7,0,6,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,"Subtle, clean, bit of pine, not super intense, small citrus and tropical"
22-WA397-016,Simcoe ,#3,Le Trou Du Diable,No,3,4,2,8,0,2,0,0,0,0,0,0,2,0,2,3,4,0,0,0,0,
22-WA397-016,Simcoe ,#3,Deya Brewing Company Ltd,No,2,4,2,7,0,0,0,0,0,0,0,0,0,0,7,7,7,0,3,0,0,Mango tropical fruit little  bit of musty cheesy
22-WA397-016,Simcoe ,#3,Garage Project,No,2,4,2,7,0,3,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,"Deep tropical, touch of dank resin, light citrus"
22-WA397-017,Simcoe ,#6 Simcoe,Official Sensory,Yes,0,5,3,0,0,5,0,1,1,0,2,1,3,0,3,5,4,1,0,0,0,Average internal validated sensory analysis for lot 22-WA397-017
22-WA397-018,Simcoe ,#6 Simcoe,"Sierra Nevada Brewing Co., Inc.",Yes,1,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22-WA397-018,Simcoe ,#6 Simcoe,Official Sensory,Yes,0,4,3,0,0,4,0,0,1,0,1,2,2,0,2,6,3,1,0,0,0,Average internal validated sensory analysis for lot 22-WA397-018
22-WA397-018,Simcoe ,#6 Simcoe,CanArchy Brewing Collective,No,10,4,3,6,0,3,0,0,2,0,8,0,3,0,0,8,4,3,0,0,0,Less intensity than other lots on table. More floral focused and lacking fruit complexity for preferred profile.
22-WA397-019,Simcoe ,#6 Simcoe,Community Beer Co,Yes,1,5,3,9,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,"Big bright berry, dark berry, bright citrus, little funk,"
22-WA397-019,Simcoe ,#6 Simcoe,"4 Noses Brewing Co., LLC",Yes,1,5,3,8,0,3,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,
22-WA397-019,Simcoe ,#6 Simcoe,Big Grove Brewery,Yes,1,5,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22-WA397-019,Simcoe ,#6 Simcoe,Almanac Beer Co.,Yes,1,5,3,8,0,4,0,3,0,0,0,0,0,0,2,7,0,0,0,0,0,
22-WA397-019,Simcoe ,#6 Simcoe,Official Sensory,Yes,0,5,3,0,0,3,0,0,1,1,1,0,2,0,3,6,5,1,0,0,0,Average internal validated sensory analysis for lot 22-WA397-019
22-WA397-019,Simcoe ,#6 Simcoe,Sapwood Cellars,No,2,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22-WA397-019,Simcoe ,#6 Simcoe,MadeWest Brewing Co,No,3,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22-WA397-019,Simcoe ,#6 Simcoe,Original Pattern Brewing Company,No,2,5,3,8,0,0,0,0,0,0,0,5,0,0,0,8,0,0,0,0,4,
